"name","icao","iata","coordinates","cityName","countryName","airport"
"Sochi International Airport","URSS","AER","43.450676 39.956589","Sochi","Russia","http://fr.dbpedia.org/resource/Aéroport_international_de_Sotchi"
"Montréal-Pierre Elliott Trudeau International Airport","CYUL","YUL","45.468649 -73.741389","Montreal","Canada","http://fr.dbpedia.org/resource/Aéroport_international_Pierre-Elliott-Trudeau_de_Montréal"
"Kansai International Airport","RJBB","KIX","34.435549 135.244446",,"Japan","http://fr.dbpedia.org/resource/Aéroport_international_du_Kansai"
"Hartsfield–Jackson Atlanta International Airport","KATL","ATL","33.639883 -84.427614","Atlanta","United States","http://fr.dbpedia.org/resource/Aéroport_international_Hartsfield-Jackson_d'Atlanta"
,"LFLL","LYS","45.725555556 5.081111111","Lyon","France","http://fr.dbpedia.org/resource/Aéroport_de_Lyon-Saint-Exupéry"
,"LFPG","CDG","49.009952 2.548635","Paris","France","http://fr.dbpedia.org/resource/Aéroport_de_Paris-Charles-de-Gaulle"
,"LFPO","ORY","48.72551 2.359443","Paris","France","http://fr.dbpedia.org/resource/Aéroport_de_Paris-Orly"
"London Heathrow Airport","EGLL","LHR","51.478443 -0.46134","London","United Kingdom","http://fr.dbpedia.org/resource/Aéroport_de_Londres_Heathrow"
"Don Mueang International Airport","VTBD","DMK","13.913615 100.606742","Bangkok",,"http://fr.dbpedia.org/resource/Aéroport_international_Don_Muang"
"Incheon International Airport","RKSI","ICN","37.469 126.449633","Seoul","South Korea","http://fr.dbpedia.org/resource/Aéroport_international_d'Incheon"
"John F. Kennedy International Airport","KJFK","JFK","40.640498 -73.778858","New York City",,"http://fr.dbpedia.org/resource/Aéroport_international_John-F.-Kennedy"
"Newark Liberty International Airport","KEWR","EWR","40.692792 -74.168572","New York City","United States","http://fr.dbpedia.org/resource/Aéroport_international_Newark_Liberty"
"Madrid-Barajas Airport","LEMD","MAD","40.488183 -3.5606","Madrid","Spain","http://fr.dbpedia.org/resource/Aéroport_international_de_Madrid-Barajas"
,"KBOS","BOS","42.36306 -71.00639","Boston",,"http://fr.dbpedia.org/resource/Aéroport_international_de_Boston-Logan"
"Seattle–Tacoma International Airport","KSEA","SEA","47.449857 -122.309418","Seattle",,"http://fr.dbpedia.org/resource/Aéroport_international_de_Seattle-Tacoma"
,"EDDF","FRA","50.032556 8.559895","Frankfurt",,"http://fr.dbpedia.org/resource/Aéroport_de_Francfort_/_Rhein-Main"
"George Bush Intercontinental Airport","KIAH","IAH","29.9848 -95.341372","Houston","United States","http://fr.dbpedia.org/resource/Aéroport_intercontinental_George-Bush_de_Houston"
"San Francisco International Airport","KSFO","SFO","37.621642 -122.382674","San Francisco",,"http://fr.dbpedia.org/resource/Aéroport_international_de_San_Francisco"
"Narita International Airport","RJAA","NRT","35.764413 140.391712","Tokyo","Japan","http://fr.dbpedia.org/resource/Aéroport_international_de_Narita"
"Chūbu Centrair International Airport","RJGG","NGO","34.858333 136.805278","Nagoya","Japan","http://fr.dbpedia.org/resource/Aéroport_international_du_Chūbu"
"Leonardo da Vinci-Fiumicino Airport","LIRF","FCO","41.807533 12.250786","Rome",,"http://fr.dbpedia.org/resource/Aéroport_Léonard-de-Vinci_de_Rome_Fiumicino"
"Haneda Airport","RJTT","HND","35.552602 139.779739","Tokyo","Japan","http://fr.dbpedia.org/resource/Aéroport_international_de_Tokyo-Haneda"
,"YSSY","SYD","-33.945549 151.177197","Sydney","Australia","http://fr.dbpedia.org/resource/Aéroport_Sydney-Kingsford_Smith"
"Philadelphia International Airport","KPHL","PHL","39.870223 -75.245404","Philadelphia",,"http://fr.dbpedia.org/resource/Aéroport_international_de_Philadelphie"
"Miami International Airport","KMIA","MIA","25.7975 -80.287222","Miami","United States","http://fr.dbpedia.org/resource/Aéroport_international_de_Miami"
"Châlons Vatry Airport","LFOK","XCR","48.77333333333333 4.206111111111111","Châlons-en-Champagne","France","http://fr.dbpedia.org/resource/Aéroport_Châlons_Vatry"
"Edwards Air Force Base","KEDW","EDW","34.915778 -117.891712",,,"http://fr.dbpedia.org/resource/Edwards_Air_Force_Base"
"Malpensa Airport","LIMC","MXP","45.627874 8.72426","Milan","Italy","http://fr.dbpedia.org/resource/Aéroport_de_Milan_Malpensa"
"Thule Air Base","BGTL","THU","76.53111111111112 -68.70305555555555",,"Greenland","http://fr.dbpedia.org/resource/Thulé_(base)"
"Amsterdam Airport Schiphol","EHAM","AMS","52.308059 4.760857","Amsterdam","Netherlands","http://fr.dbpedia.org/resource/Aéroport_d'Amsterdam-Schiphol"
"Nagasaki Airport","RJFU","NGS","32.916944 129.913611","Nagasaki","Japan","http://fr.dbpedia.org/resource/Aéroport_international_de_Nagasaki"
"Grenoble-Isère Airport","LFLS","GNB","45.363243 5.332317","Grenoble","France","http://fr.dbpedia.org/resource/Aéroport_de_Grenoble-Isère"
