ADB,"Adnan Menderes Airport railway station, İzmir, Turkey","Gare ferrovaire de l'aéroport Adnan Menderes, İzmir, Turquie",Adnan Menderes Airport railway,Gare ferrovaire de l'aéroport Adnan Menderes,İzmir,İzmir,,Turkey,http://en.wikipedia.org/wiki/Adnan_Menderes_Airport_railway_station,http://tools.wmflabs.org/geohack/geohack.php?pagename=Adnan_Menderes_Airport_railway_station&params=38.29250_N_27.14756_E_,38.2925,27.14756,A
AMS,"Schiphol railway station on the Weesp-Leiden line near Amsterdam, Netherlands. High speed trains (Thalys) to Brussels and Paris using HSL-Zuid stop here as well","Gare de Schiphol, Amsterdam, Pays bas",Schiphol railway station,Gare de Schiphol,Amsterdam,Amsterdam,,Netherlands,http://en.wikipedia.org/wiki/Schiphol_railway_station,http://tools.wmflabs.org/geohack/geohack.php?pagename=Schiphol_railway_station&params=52_18_32_N_4_45_42_E_type:railwaystation_region:NL,52.308889,4.761667,A
ARN,"Stockholm-Arlanda Airport railway station, Sweden (walking distance from the airport)","Gare ferrovaire de l'aéroport Stockholm-Arlanda, Stockholm, Suède",Stockholm-Arlanda Airport railway station,Gare ferrovaire de l'aéroport Stockholm-Arlanda,Stockholm,Stockholm,,Sweden,http://en.wikipedia.org/wiki/Arlanda_Central_Station,http://tools.wmflabs.org/geohack/geohack.php?pagename=Arlanda_Central_Station&params=59.64959_N_17.92912_E_,59.64959,17.92912,A
BHX,"Birmingham International railway station, United Kingdom (600 m or 2,000 ft by rail from the airport)","Gare de Birmingham International, Birmingham, Angleterre (à 600 m de l'aéroport)",Birmingham International railway station,Gare internationale de Birmingham,Birmingham,Birmingham,,United Kingdom,http://en.wikipedia.org/wiki/Birmingham_International_railway_station,http://tools.wmflabs.org/geohack/geohack.php?pagename=Birmingham_International_railway_station&params=52.451_N_-1.725_E_type:railwaystation_region:GB_scale:10000,52.451,-1.725,A
BNJ,"Bonn Hauptbahnhof, Sankt Augustin, Germany (at Bonn-Hangelar Airport (ICAO: EDKB))","Gare ferrovaire de l'aéroport de Bonn-Hangelar, Sankt Augustin, Allemagne",Bonn Hauptbahnhof,Gare ferrovaire de l'aéroport de Bonn-Hangelar,Sankt Augustin,Sankt Augustin,,Germany,http://en.wikipedia.org/wiki/Sankt_Augustin,http://tools.wmflabs.org/geohack/geohack.php?pagename=Sankt_Augustin&params=50_46_12_N_7_11_12_E_type:city(54285)_region:DE-NW,50.77,7.186667
XER,"Strasbourg Railway station, Strasbourg, France","Gare de Strasbourg, Strasbourg, Alsace, France",Gare de Strasbourg,Gare de Strasbourg,Strasbourg,Strasbourg,Alsace,France,http://fr.wikipedia.org/wiki/Gare_de_Strasbourg-Ville,http://tools.wmflabs.org/geohack/geohack.php?pagename=Gare_de_Strasbourg&params=48_35_06_N_7_44_04_E_type:railwaystation_region:FR-A_dim:25_source:dewiki,48.585,7.734444
BOO,"Bodø Station, Bodø, Norway (5 km from airport)","Gare de Bodø, Bodø, Norvège (à 5 km de l'aéroport)",Bodø Station,Gare de Bodø,Bodø,Bodø,,Norway,http://en.wikipedia.org/wiki/Bod%C3%B8_Station,http://tools.wmflabs.org/geohack/geohack.php?pagename=Bod%C3%B8_Station&params=67_17_11.000_N_14_23_29.130_E_type:railwaystation_region:NO,67.286389,14.391425,A
BRS,"Bristol railway station, United Kingdom (13 km or 8.1 mi from airport)","Gare de Bristol, Bristol, Angleterre (à 13 km de l'aéroport)",Bristol railway station,Gare de Bristol,Bristol,Bristol,,United Kingdom,http://en.wikipedia.org/wiki/Bristol_Temple_Meads_railway_station,http://tools.wmflabs.org/geohack/geohack.php?pagename=Bristol_Temple_Meads_railway_station&params=51.449_N_-2.580_E_type:railwaystation_region:GB_scale:10000,51.449,-2.58,A
BRU,"Brussels National Airport railway station, Belgium","Gare de Bruxelles-National-Aéroport, Bruxelles, Belgique",Brussels National Airport railway station,Gare de Bruxelles-National-Aéroport,Brussels,Bruxelles,,Belgium,http://en.wikipedia.org/wiki/Brussels_National_Airport_railway_station,http://tools.wmflabs.org/geohack/geohack.php?pagename=Brussels_National_Airport_railway_station&params=50_53_50_N_4_29_05_E_region:BE_type:railwaystation,50.897222,4.484722,A
CBG,"Cambridge railway station, United Kingdom","Gare de Cambridge, Cambridge, United Kingdom",Cambridge railway station,Gare de Cambridge,Cambridge,Cambridge,England,United Kingdom,http://en.wikipedia.org/wiki/Cambridge_railway_station,http://tools.wmflabs.org/geohack/geohack.php?pagename=Cambridge_railway_station&params=52.194_N_0.138_E_type:railwaystation_region:GB_scale:10000,52.194,0.138,A
CDG,"Charles de Gaulle Airport Railway station (at Terminal 2), Paris-Roissy, France (LGV Interconnexion Est (high-speed line) with TGV/Thalys services)","Aéroport Charles de Gaulle 2 – TGV Roissy, Paris, France (LGV Interconnexion Est (high-speed line) with TGV/Thalys services)",Charles de Gaulle Airport Railway station,Gare ferrovaire de l'aéroport Charles de Gaulle - Roissy,Paris,Paris,Île de France,France,http://en.wikipedia.org/wiki/A%C3%A9roport_Charles_de_Gaulle_2_TGV,http://tools.wmflabs.org/geohack/geohack.php?pagename=A%C3%A9roport_Charles_de_Gaulle_2_TGV&params=49_00_14_N_2_34_16_E_type:railwaystation_region:FR-J,49.003889,2.571111,A
CGN,"Bahnhof Köln/Bonn Flughafen, Germany (walking distance from the airport). The ICE trains stop here as well","Gare ferrovaire de l'aéroport de Cologne/Bonn, Cologne, Allemagne",Cologne/Bonn Airport Railway station,Gare ferrovaire de l'aéroport de Cologne/Bonn,Köln,Cologne,,Germany,http://en.wikipedia.org/wiki/Cologne/Bonn_Airport_station,http://tools.wmflabs.org/geohack/geohack.php?pagename=Cologne%2FBonn_Airport_station&params=50_52_44_N_7_7_10_E_region:DE-NW_type:railwaystation,50.878889,7.119444,A
CPH,"Copenhagen Airport, Kastrup Station, Denmark (underneath airport T3)","Gare ferrovaire de l'aéroport de Copenhague-Kastrup, (sous les pistes de l'aérogare N°3) Copenhague, Danemark","Copenhagen Airport, Kastrup Station",Gare ferrovaire de l'aéroport de Copenhague-Kastrup,Copenhagen,Copenhague,,Denmark,http://en.wikipedia.org/wiki/Copenhagen_Airport,http://tools.wmflabs.org/geohack/geohack.php?pagename=Copenhagen_Airport&params=55_37_05_N_012_39_22_E_type:airport_region:DK,55.618056,12.656111,A
DUS,"Düsseldorf Flughafen Fernbahnhof, Germany on the Cologne–Duisburg Railway line (SkyTrain people mover)","Gare ferrovaire de l'aéroport de Düsseldorf, Düsseldorf, Allemagne",Düsseldorf Flughafen Railsway station,Gare ferrovaire de l'aéroport de Düsseldorf,Düsseldorf,Düsseldorf,,Germany,http://en.wikipedia.org/wiki/D%C3%BCsseldorf_Airport_station,http://tools.wmflabs.org/geohack/geohack.php?pagename=D%C3%BCsseldorf_Airport_station&params=51_17_30_N_6_47_11_E_region:DE-NW_type:railwaystation,51.291667,6.786389,A
